student_id,question_id,is_correct,response_time
0,40,0,37
0,1,0,37
0,57,0,29
0,26,1,27
0,35,1,32
0,44,0,23
0,53,0,15
0,49,1,38
0,69,1,24
0,67,0,5
0,26,0,28
0,69,1,16
0,58,1,25
0,17,0,34
0,0,1,17
0,26,1,20
0,42,1,40
0,4,0,21
0,7,0,35
0,30,1,5
0,47,1,47
0,59,1,40
0,49,1,16
0,69,1,31
0,61,1,25
0,47,1,30
0,36,1,22
0,0,0,19
0,24,0,26
0,34,0,17
0,9,1,18
0,38,0,25
0,23,1,32
0,12,0,33
0,40,0,17
0,66,1,5
0,57,0,36
0,10,1,25
0,2,0,33
0,61,1,20
0,61,1,56
0,37,1,28
0,47,1,34
0,41,1,31
0,32,0,21
0,22,0,39
0,51,0,25
0,13,0,23
0,19,1,29
0,7,1,20
0,3,1,22
0,5,1,14
0,14,1,10
0,64,0,39
0,1,0,5
0,1,1,14
0,46,1,23
0,18,0,5
0,38,0,24
0,17,0,21
0,10,0,16
0,54,0,11
0,68,1,26
0,45,1,32
0,24,0,6
0,5,1,22
0,26,1,30
0,37,1,26
0,33,0,23
0,48,1,14
0,62,1,30
0,35,1,10
1,20,1,39
1,45,1,34
1,18,0,45
1,6,1,30
1,26,0,27
1,20,0,42
1,4,1,52
1,19,0,53
1,53,1,43
1,28,1,44
1,31,0,37
1,34,1,61
1,65,0,49
1,39,0,18
1,43,0,77
1,33,0,45
1,33,0,24
1,38,1,65
1,19,1,50
1,4,0,37
1,68,1,33
1,57,1,59
1,9,0,54
1,25,0,61
1,37,1,41
1,35,1,44
1,48,0,73
1,34,1,56
1,70,1,47
1,56,0,46
1,55,1,32
1,48,0,51
1,65,1,23
1,23,0,53
1,54,0,59
1,35,1,50
1,66,1,30
1,26,1,38
1,17,1,25
1,64,0,59
1,24,0,65
1,69,0,44
1,25,0,66
1,38,1,51
1,42,0,67
1,58,1,66
1,41,1,69
1,49,0,42
1,9,0,48
1,2,0,46
1,14,1,21
1,41,0,50
1,31,0,58
1,28,1,37
1,52,0,34
1,60,1,37
1,52,0,39
1,60,0,52
1,5,0,44
1,8,1,13
1,56,0,51
1,11,0,60
1,50,0,37
1,24,0,41
1,17,0,10
1,44,1,56
1,9,0,46
1,22,0,66
1,45,0,54
1,23,0,27
1,55,0,52
1,43,0,17
2,26,1,54
2,39,1,32
2,10,0,54
2,19,1,54
2,36,1,40
2,18,0,27
2,61,1,52
2,51,1,38
2,5,0,40
2,5,1,45
2,63,1,63
2,70,0,51
2,54,1,32
2,40,0,63
2,48,1,40
2,56,0,45
2,26,1,38
2,28,1,56
2,34,0,47
2,32,0,32
2,53,0,23
2,36,1,37
2,55,0,38
2,13,0,46
2,20,0,23
2,49,0,65
2,4,1,35
2,16,0,61
2,53,0,21
2,16,1,27
2,36,1,54
2,9,1,30
2,30,1,43
