student_id,name,question_id,answer,response_time,is_correct
13,Synth_Student_13,3,d,56,0
13,Synth_Student_13,4,a,17,1
13,Synth_Student_13,6,b,62,1
13,Synth_Student_13,7,a,101,0
13,Synth_Student_13,8,b,96,0
13,Synth_Student_13,1,c,32,1
13,Synth_Student_13,2,a,105,1
13,Synth_Student_13,5,c,38,0
13,Synth_Student_13,9,a,34,0
13,Synth_Student_13,10,c,22,1
13,Synth_Student_13,11,a,59,0
13,Synth_Student_13,12,d,90,0
13,Synth_Student_13,13,a,39,1
13,Synth_Student_13,14,c,68,0
13,Synth_Student_13,15,a,50,0
13,Synth_Student_13,16,e,107,0
13,Synth_Student_13,17,c,36,1
13,Synth_Student_13,18,d,29,0
13,Synth_Student_13,19,c,105,1
13,Synth_Student_13,20,b,44,0
13,Synth_Student_13,21,b,59,0
13,Synth_Student_13,22,c,28,0
13,Synth_Student_13,23,e,92,0
13,Synth_Student_13,24,c,74,1
13,Synth_Student_13,25,b,177,0
13,Synth_Student_13,26,a,117,0
13,Synth_Student_13,27,e,82,0
13,Synth_Student_13,28,c,127,1
13,Synth_Student_13,29,d,51,0
13,Synth_Student_13,30,a,54,0
13,Synth_Student_13,31,c,28,1
13,Synth_Student_13,32,b,37,1
13,Synth_Student_13,33,a,65,0
13,Synth_Student_13,34,c,94,0
13,Synth_Student_13,35,e,54,0
13,Synth_Student_13,36,e,34,0
13,Synth_Student_13,37,b,40,0
13,Synth_Student_13,38,c,54,1
13,Synth_Student_13,39,e,124,0
13,Synth_Student_13,40,e,45,0
13,Synth_Student_13,41,c,27,1
13,Synth_Student_13,42,e,40,0
13,Synth_Student_13,43,c,84,1
13,Synth_Student_13,44,a,31,1
13,Synth_Student_13,45,e,30,0
13,Synth_Student_13,46,e,37,0
13,Synth_Student_13,47,d,118,0
13,Synth_Student_13,48,b,41,1
13,Synth_Student_13,49,e,79,0
13,Synth_Student_13,50,b,43,1
13,Synth_Student_13,51,b,47,1
13,Synth_Student_13,52,a,45,0
13,Synth_Student_13,53,b,27,0
13,Synth_Student_13,54,d,44,1
13,Synth_Student_13,55,d,38,0
13,Synth_Student_13,56,b,87,0
13,Synth_Student_13,57,e,96,0
13,Synth_Student_13,58,a,54,0
13,Synth_Student_13,59,e,40,0
13,Synth_Student_13,60,d,122,0
13,Synth_Student_13,61,b,62,0
13,Synth_Student_13,62,a,26,1
13,Synth_Student_13,63,c,55,0
13,Synth_Student_13,64,c,55,0
13,Synth_Student_13,65,d,83,0
13,Synth_Student_13,66,a,18,1
13,Synth_Student_13,67,c,65,0
13,Synth_Student_13,68,b,49,1
13,Synth_Student_13,69,a,71,0
13,Synth_Student_13,70,c,81,0
13,Synth_Student_13,71,a,64,0
13,Synth_Student_13,72,d,48,1
14,Synth_Student_14,3,e,43,0
14,Synth_Student_14,4,a,153,1
14,Synth_Student_14,6,b,74,1
14,Synth_Student_14,7,e,31,0
14,Synth_Student_14,8,b,60,0
14,Synth_Student_14,1,b,33,0
14,Synth_Student_14,2,a,26,1
14,Synth_Student_14,5,a,123,0
14,Synth_Student_14,9,a,36,0
14,Synth_Student_14,10,c,38,1
14,Synth_Student_14,11,a,32,0
14,Synth_Student_14,12,a,74,1
