student_id,name,question_id,answer,response_time,is_correct
13,Synth_Student_13,3,b,61,1
13,Synth_Student_13,4,a,97,1
13,Synth_Student_13,6,b,47,1
13,Synth_Student_13,7,c,29,1
13,Synth_Student_13,8,a,106,0
13,Synth_Student_13,1,d,59,0
13,Synth_Student_13,2,a,25,1
13,Synth_Student_13,5,e,103,0
13,Synth_Student_13,9,b,90,1
13,Synth_Student_13,10,c,46,1
13,Synth_Student_13,11,d,92,0
13,Synth_Student_13,12,d,211,0
13,Synth_Student_13,13,b,55,0
13,Synth_Student_13,14,a,46,1
13,Synth_Student_13,15,e,71,0
13,Synth_Student_13,16,b,43,1
13,Synth_Student_13,17,a,32,0
13,Synth_Student_13,18,a,89,1
13,Synth_Student_13,19,d,131,0
13,Synth_Student_13,20,c,21,1
13,Synth_Student_13,21,a,54,0
13,Synth_Student_13,22,b,44,0
13,Synth_Student_13,23,a,64,0
13,Synth_Student_13,24,c,36,1
13,Synth_Student_13,25,c,63,1
13,Synth_Student_13,26,d,21,1
13,Synth_Student_13,27,c,44,0
13,Synth_Student_13,28,a,69,0
13,Synth_Student_13,29,a,31,0
13,Synth_Student_13,30,b,73,1
13,Synth_Student_13,31,d,131,0
13,Synth_Student_13,32,a,48,0
13,Synth_Student_13,33,c,89,1
13,Synth_Student_13,34,a,88,0
13,Synth_Student_13,35,a,39,1
13,Synth_Student_13,36,d,89,0
13,Synth_Student_13,37,d,25,1
13,Synth_Student_13,38,c,44,1
13,Synth_Student_13,39,a,38,0
13,Synth_Student_13,40,d,22,0
13,Synth_Student_13,41,c,69,1
13,Synth_Student_13,42,e,61,0
13,Synth_Student_13,43,c,170,1
13,Synth_Student_13,44,b,74,0
13,Synth_Student_13,45,c,54,1
13,Synth_Student_13,46,c,17,0
13,Synth_Student_13,47,a,65,1
13,Synth_Student_13,48,c,64,0
13,Synth_Student_13,49,d,76,1
13,Synth_Student_13,50,c,44,0
13,Synth_Student_13,51,c,34,0
13,Synth_Student_13,52,b,176,0
13,Synth_Student_13,53,b,91,0
13,Synth_Student_13,54,b,40,0
13,Synth_Student_13,55,e,62,0
13,Synth_Student_13,56,b,176,0
13,Synth_Student_13,57,d,69,1
13,Synth_Student_13,58,a,95,0
13,Synth_Student_13,59,d,48,0
13,Synth_Student_13,60,c,300,1
13,Synth_Student_13,61,a,53,0
13,Synth_Student_13,62,d,38,0
13,Synth_Student_13,63,a,52,1
13,Synth_Student_13,64,e,11,0
13,Synth_Student_13,65,d,106,0
13,Synth_Student_13,66,b,47,0
13,Synth_Student_13,67,b,115,1
13,Synth_Student_13,68,b,89,1
13,Synth_Student_13,69,e,68,0
13,Synth_Student_13,70,e,29,0
13,Synth_Student_13,71,d,132,0
13,Synth_Student_13,72,d,128,1
14,Synth_Student_14,3,c,134,0
14,Synth_Student_14,4,a,93,1
14,Synth_Student_14,6,b,34,1
14,Synth_Student_14,7,c,79,1
14,Synth_Student_14,8,b,47,0
14,Synth_Student_14,1,a,49,0
14,Synth_Student_14,2,a,65,1
14,Synth_Student_14,5,b,53,1
14,Synth_Student_14,9,e,85,0
14,Synth_Student_14,10,c,34,1
14,Synth_Student_14,11,c,64,1
14,Synth_Student_14,12,d,70,0
14,Synth_Student_14,13,d,42,0
14,Synth_Student_14,14,c,112,0
14,Synth_Student_14,15,c,85,0
14,Synth_Student_14,16,d,41,0
14,Synth_Student_14,17,d,60,0
14,Synth_Student_14,18,b,75,0
14,Synth_Student_14,19,c,23,1
14,Synth_Student_14,20,c,56,1
14,Synth_Student_14,21,b,38,0
14,Synth_Student_14,22,b,50,0
14,Synth_Student_14,23,b,71,0
14,Synth_Student_14,24,c,48,1
14,Synth_Student_14,25,d,23,0
14,Synth_Student_14,26,d,15,1
14,Synth_Student_14,27,b,92,1
14,Synth_Student_14,28,e,69,0
14,Synth_Student_14,29,a,58,0
14,Synth_Student_14,30,a,60,0
14,Synth_Student_14,31,e,48,0
14,Synth_Student_14,32,c,107,0
14,Synth_Student_14,33,d,67,0
14,Synth_Student_14,34,b,108,1
14,Synth_Student_14,35,e,104,0
14,Synth_Student_14,36,a,39,0
14,Synth_Student_14,37,b,58,0
14,Synth_Student_14,38,c,68,1
14,Synth_Student_14,39,b,58,1
14,Synth_Student_14,40,b,26,1
14,Synth_Student_14,41,c,108,1
14,Synth_Student_14,42,d,44,1
14,Synth_Student_14,43,c,130,1
14,Synth_Student_14,44,a,108,1
14,Synth_Student_14,45,c,23,1
14,Synth_Student_14,46,b,35,0
14,Synth_Student_14,47,a,85,1
14,Synth_Student_14,48,b,65,1
14,Synth_Student_14,49,e,105,0
14,Synth_Student_14,50,b,65,1
14,Synth_Student_14,51,b,89,1
14,Synth_Student_14,52,c,27,1
14,Synth_Student_14,53,c,88,1
14,Synth_Student_14,54,e,102,0
14,Synth_Student_14,55,c,90,1
14,Synth_Student_14,56,c,59,1
14,Synth_Student_14,57,d,119,1
14,Synth_Student_14,58,b,30,0
14,Synth_Student_14,59,b,164,1
14,Synth_Student_14,60,c,91,1
14,Synth_Student_14,61,a,169,0
14,Synth_Student_14,62,b,100,0
14,Synth_Student_14,63,a,44,1
14,Synth_Student_14,64,b,28,1
14,Synth_Student_14,65,c,40,1
14,Synth_Student_14,66,b,53,0
14,Synth_Student_14,67,b,59,1
14,Synth_Student_14,68,d,114,0
14,Synth_Student_14,69,c,40,1
14,Synth_Student_14,70,b,96,1
14,Synth_Student_14,71,c,115,1
14,Synth_Student_14,72,b,27,0
15,Synth_Student_15,3,a,72,0
15,Synth_Student_15,4,c,49,0
15,Synth_Student_15,6,a,56,0
15,Synth_Student_15,7,c,61,1
15,Synth_Student_15,8,d,96,0
15,Synth_Student_15,1,d,80,0
15,Synth_Student_15,2,e,10,0
15,Synth_Student_15,5,e,68,0
15,Synth_Student_15,9,d,28,0
15,Synth_Student_15,10,c,28,1
15,Synth_Student_15,11,c,30,1
15,Synth_Student_15,12,a,36,1
15,Synth_Student_15,13,a,93,1
15,Synth_Student_15,14,d,24,0
15,Synth_Student_15,15,e,34,0
